# FractureId; NumTraces
0; 113 
# TraceId; Tips; Length
67; false; 1.1129192945332962e+00
50; false; 8.0634963141206761e-01
29; false; 7.6453158276338307e-01
2; false; 7.5225517658242158e-01
18; false; 7.4040238197284003e-01
90; false; 7.3654450582128483e-01
12; false; 7.3493089008155421e-01
14; false; 5.4775222733060591e-01
4; false; 4.6702629956687713e-01
61; false; 4.4491066788961880e-01
22; false; 4.4053940567650823e-01
63; false; 4.3415190555811262e-01
94; false; 3.8210752759614552e-01
43; false; 3.4696865694708540e-01
95; false; 2.7637831966820536e-01
9; false; 2.7396765685449115e-01
93; false; 2.3505107921679613e-01
44; false; 2.1895339292832100e-01
80; false; 1.7623066025342221e-01
3; false; 9.5786178805001967e-02
52; false; 1.4808689885634347e-05
16; true; 1.1737748298668567e+00
53; true; 1.1159766301137224e+00
30; true; 1.0893653525883735e+00
81; true; 1.0698983506238939e+00
51; true; 1.0664012267359935e+00
56; true; 8.6772089921670603e-01
5; true; 7.9298622112138939e-01
78; true; 7.8516554242760761e-01
19; true; 7.5371325015753832e-01
39; true; 7.5073285151483782e-01
88; true; 7.4671148283306932e-01
100; true; 7.2847161030374930e-01
62; true; 7.2837736939575282e-01
48; true; 7.2625942479642469e-01
15; true; 7.1485637804446367e-01
99; true; 7.0085477033736776e-01
98; true; 6.9315942968769173e-01
54; true; 6.6607382248204638e-01
36; true; 6.6059464287754111e-01
0; true; 6.5583555096543489e-01
96; true; 6.3948971241479735e-01
28; true; 6.2886958443855512e-01
70; true; 6.2111599869644807e-01
105; true; 6.1889571069006544e-01
31; true; 6.1850191537115984e-01
85; true; 6.1481589982170348e-01
6; true; 6.1265712522911842e-01
87; true; 6.0654311663326366e-01
71; true; 5.8654174102083345e-01
21; true; 5.8637558283745861e-01
34; true; 5.8409648102294598e-01
101; true; 5.8240657104941052e-01
74; true; 5.8001487610812119e-01
110; true; 5.4803257080282486e-01
46; true; 5.4748319317886507e-01
40; true; 5.2750958421798633e-01
58; true; 5.2534523916642772e-01
64; true; 5.2115677659595561e-01
68; true; 5.2115009061376838e-01
66; true; 5.2012055688731607e-01
45; true; 5.1452470999722399e-01
108; true; 4.9736256153109648e-01
37; true; 4.8795402585504544e-01
7; true; 4.7031706991420336e-01
59; true; 4.4458618237598668e-01
23; true; 4.4025492152286549e-01
102; true; 4.3630208785225433e-01
