# FractureId; NumTraces
0; 7
# TraceId; Tips; Length
71; true; 4.9334759254711796e-01
74; true; 4.5977394119010523e-01
83; true; 4.2156776278981545e-01
85; true; 4.0879329399964276e-01
69; true; 3.6951510369423823e-01
84; true; 2.9325172090586371e-01
72; true; 2.0730281162183381e-01
77; true; 1.7500582881682736e-01
76; true; 1.4828813920453793e-01
78; true; 1.4229570102831160e-01
79; true; 6.0080722747593435e-02


# FractureId; NumTraces
5; 19
# TraceId; Tips; Length
93; false; 1.4546681590113170e-01
9; true; 9.3741389718636914e-01
100; true; 8.0011000011290989e-01
99; true; 7.6128311330849008e-01
103; true; 5.4193063526718221e-01
102; true; 4.5828326496382832e-01
104; true; 4.5793878923464454e-01
91; true; 4.1816157727458647e-01
69; true; 3.6951510369423823e-01
101; true; 3.4256644263550545e-01
96; true; 3.1802728350911852e-01
95; true; 3.1592384318204880e-01
105; true; 2.3886239058765671e-01
107; true; 2.2390863664954186e-01
92; true; 1.8037308236993058e-01
94; true; 1.5014470862621832e-01
106; true; 1.2220046815910006e-01
98; true; 1.0041749859015468e-01
97; true; 6.7464180324003670e-02


# FractureId; NumTraces
6; 7
# TraceId; Tips; Length
36; true; 6.9672839998550418e-01
1; true; 4.2680143969791606e-01
112; true; 1.9596735547721933e-01
109; true; 1.5242556599522331e-01
110; true; 1.4973175970221278e-01
111; true; 3.7749700950232855e-02
108; true; 8.1023930923596298e-03


# FractureId; NumTraces
7; 24
# TraceId; Tips; Length
117; false; 8.6276525116766190e-01
124; false; 7.3599990753973865e-01
121; false; 7.1387476419108054e-01
129; false; 5.0797228821189988e-01
120; true; 9.9493753841209864e-01
132; true; 7.9741057504480051e-01
123; true; 5.3336313639516486e-01
130; true; 5.2989735850812225e-01
128; true; 5.2803578637605542e-01
113; true; 5.2086105275162542e-01
131; true; 4.4791420058171494e-01
114; true; 4.1238289690281066e-01
10; true; 3.6084402598645332e-01
119; true; 3.3904431391603035e-01
118; true; 3.0595373515579266e-01
122; true; 2.5846507698565907e-01
127; true; 2.1755214765727451e-01
134; true; 1.8857250202010525e-01
41; true; 1.7285713851104598e-01
115; true; 1.2603545620209725e-01
126; true; 1.1369984160350594e-01
133; true; 1.0716343122549361e-01
116; true; 4.2249225726658887e-02
125; true; 9.4905881960352864e-03


# FractureId; NumTraces
8; 9
# TraceId; Tips; Length
140; false; 1.0749675506845317e-01
135; true; 6.0759601814421038e-01
139; true; 3.5094448774549120e-01
138; true; 3.3767888439838567e-01
136; true; 3.2461084958832137e-01
137; true; 2.5879726107968914e-01
142; true; 1.6236851154716467e-01
2; true; 1.4605310396686275e-01
141; true; 7.8843755929514356e-02


# FractureId; NumTraces
9; 22
# TraceId; Tips; Length
151; false; 7.1535205763484022e-01
144; false; 4.8298143698395513e-01
149; false; 3.9088120433452150e-01
146; false; 2.2948873112094251e-01
156; false; 1.2859362082504738e-01
158; true; 5.7681392653823638e-01
148; true; 5.4824912211249821e-01
42; true; 5.3982200587684581e-01
155; true; 5.3605405198337919e-01
113; true; 5.2086105275162542e-01
152; true; 5.1061979220506304e-01
153; true; 4.7522431936079246e-01
160; true; 3.7755496131912825e-01
11; true; 3.6286845226982550e-01
159; true; 3.4926060408786758e-01
150; true; 3.2472319566450430e-01
147; true; 3.2448070218554659e-01
143; true; 2.6469561061149344e-01
154; true; 2.1543647821038087e-01
157; true; 1.7965686602168354e-01
145; true; 8.6767193239245519e-02
70; true; 5.1344459412478012e-02


# FractureId; NumTraces
10; 28
# TraceId; Tips; Length
162; false; 1.1059679206308379e+00
183; false; 9.9849660171934929e-01
180; false; 5.6938502417703540e-01
178; false; 3.3129266381255895e-01
179; false; 6.1036514153672873e-02
166; true; 9.1180787712735489e-01
165; true; 8.9344226089632439e-01
169; true; 8.8777586775709461e-01
173; true; 8.0899334561787051e-01
171; true; 7.6690482068332633e-01
161; true; 7.0615194598080222e-01
184; true; 6.9434509606636285e-01
175; true; 6.5463051593251897e-01
170; true; 6.0907503004802821e-01
43; true; 5.0269084482302495e-01
71; true; 4.9334759254711796e-01
164; true; 4.6053016527194829e-01
182; true; 4.2422191302321982e-01
12; true; 4.1882175187814547e-01
91; true; 4.1816157727458647e-01
167; true; 4.1798765587969688e-01
176; true; 3.9830064002733406e-01
174; true; 3.7856466366688668e-01
163; true; 3.7499341735129743e-01
181; true; 2.2143426630877713e-01
168; true; 1.8829959712507519e-01
177; true; 4.9589421373269785e-02
172; true; 8.7965946751516391e-03


# FractureId; NumTraces
11; 22
# TraceId; Tips; Length
114; false; 4.1238289690281066e-01
3; false; 3.9439852449745560e-01
198; false; 1.2188468145802751e+00
194; false; 5.0627045363944068e-01
187; false; 1.0296992401265102e-01
189; true; 1.0648771738260840e+00
186; true; 8.2776979494388436e-01
200; true; 6.1234732468180042e-01
185; true; 6.0693139225329518e-01
190; true; 6.0349437559238295e-01
202; true; 5.4757687624136009e-01
193; true; 4.5521825605442684e-01
197; true; 2.9531317310365923e-01
192; true; 2.8851619876241541e-01
143; true; 2.6469561061149344e-01
196; true; 2.4469509490708494e-01
199; true; 1.2781400211742835e-01
188; true; 1.0477358321673684e-01
191; true; 3.5421316955079739e-02
195; true; 2.9980431022665108e-02
201; true; 1.8188533229440088e-02
13; true; 1.1440457748452860e-02


# FractureId; NumTraces
12; 15
# TraceId; Tips; Length
203; false; 5.8495333437547492e-01
206; false; 4.3459483311429076e-01
211; true; 1.0614251912418557e+00
135; true; 6.0759601814421038e-01
185; true; 6.0693139225329518e-01
204; true; 4.9881610400579968e-01
213; true; 3.6687504891024803e-01
208; true; 3.6482203614073894e-01
212; true; 3.3489708988538902e-01
207; true; 3.1474238645272784e-01
205; true; 2.8181181388440446e-01
210; true; 1.5758016341451656e-01
115; true; 1.2603545620209725e-01
108; true; 8.1023930923596298e-03
209; true; 6.5340490992790512e-03


# FractureId; NumTraces
13; 20
# TraceId; Tips; Length
161; false; 7.0615194598080222e-01
220; false; 7.5816410239208887e-01
229; false; 5.7302825171340621e-01
216; false; 4.8928048764886495e-01
218; false; 9.3868185844018431e-02
215; false; 3.4258098207844601e-04
223; true; 6.7825564302855668e-01
224; true; 6.6877334178572767e-01
222; true; 6.6825684774495775e-01
219; true; 6.1764824218000480e-01
226; true; 6.0020545214109977e-01
228; true; 5.3204109757757290e-01
214; true; 4.9386615504377435e-01
217; true; 4.7816616804745393e-01
221; true; 4.6689682389788517e-01
72; true; 2.0730281162183381e-01
44; true; 1.8996706192210300e-01
227; true; 1.2636491986430687e-01
225; true; 7.5059229172484157e-02
116; true; 4.2249225726658887e-02


# FractureId; NumTraces
14; 31
# TraceId; Tips; Length
37; false; 1.7440624831934881e-01
239; true; 1.4946028386702264e+00
249; true; 1.3383640386948075e+00
162; true; 1.1059679206308379e+00
242; true; 1.0326102134305755e+00
235; true; 9.8131160857697963e-01
246; true; 9.3656780717898935e-01
243; true; 8.8545561466730127e-01
233; true; 8.8248469577413224e-01
117; true; 8.6276525116766190e-01
231; true; 8.4763098081450794e-01
237; true; 8.4413157921099158e-01
186; true; 8.2776979494388436e-01
248; true; 8.0728361418382732e-01
250; true; 7.5941559832113825e-01
245; true; 6.9425990821379058e-01
244; true; 6.5648761976084946e-01
247; true; 6.3386563686568287e-01
232; true; 6.1228031129643568e-01
230; true; 6.0485951235049995e-01
234; true; 5.9725329824506768e-01
203; true; 5.8495333437547492e-01
238; true; 5.8490672423816537e-01
45; true; 5.7390811464565517e-01
73; true; 5.2753809088190018e-01
214; true; 4.9386615504377435e-01
144; true; 4.8298143698395513e-01
240; true; 3.5698050371977169e-01
241; true; 3.0293484895823447e-01
236; true; 2.9163550699945978e-01
14; true; 1.5575395183890220e-01


# FractureId; NumTraces
15; 21
# TraceId; Tips; Length
230; false; 6.0485951235049995e-01
258; true; 9.4157435013696122e-01
254; true; 7.4207253052710276e-01
251; true; 6.9767992464120843e-01
259; true; 5.1876352563441186e-01
204; true; 4.9881610400579968e-01
252; true; 4.3816375382347522e-01
262; true; 3.9292902289345555e-01
263; true; 3.8093407970350895e-01
253; true; 3.7004351762862081e-01
136; true; 3.2461084958832137e-01
256; true; 3.1319653400015235e-01
118; true; 3.0595373515579266e-01
261; true; 2.1957512729561771e-01
46; true; 2.1108417996010398e-01
109; true; 1.5242556599522331e-01
255; true; 1.5119049650334149e-01
257; true; 1.2802098645861901e-01
145; true; 8.6767193239245519e-02
260; true; 4.1646606643643280e-02
215; true; 3.4258098207844601e-04


# FractureId; NumTraces
16; 19
# TraceId; Tips; Length
163; false; 3.7499341735129743e-01
272; false; 6.4869576984735744e-01
278; false; 1.7152211529734482e-01
264; false; 1.3335016800802477e-01
231; true; 8.4763098081450794e-01
273; true; 7.5043391029709905e-01
268; true; 7.2374329895624967e-01
276; true; 6.3465031905048264e-01
266; true; 6.2035706557642667e-01
265; true; 5.5575048792071391e-01
267; true; 5.2030519809910847e-01
270; true; 5.0885998254446674e-01
277; true; 4.9284768261492201e-01
216; true; 4.8928048764886495e-01
74; true; 4.5977394119010523e-01
275; true; 3.9313437954554198e-01
271; true; 2.6588082192644508e-01
